"","AP4_10_01","AP4_10_02","AP4_10_03","AP4_10_04","AP4_10_05","AP4_10_06","AP4_10_09","AP4_10_10","AP4_10_11","AP4_10_12","AP4_10_14","AP4_10_15","AP4_11_01","AP4_11_02","AP4_11_03","AP4_11_04","AP4_11_05","AP4_11_06","AP4_11_07","AP4_11_08","AP4_11_09","AP4_11_10"
"13636",2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2
"13638",1,2,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2
"13639",2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"13641",2,1,2,2,2,1,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2
"13644",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2
"13649",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"13661",1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,2,2,1,2,2,2,2
"13663",1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"13665",1,1,1,1,1,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2
"13667",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"13668",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"13669",2,1,2,2,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2
"13670",1,2,2,2,2,2,1,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2
"13673",1,1,1,2,2,1,1,1,1,2,2,2,2,1,2,2,2,2,2,2,2,2
"13675",1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"13676",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"13677",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2
"13678",1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"13692",1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"13695",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"13701",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2
"13702",1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2
"13705",1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,1
"13707",1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2
"13712",1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,1
"13729",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"13731",1,1,1,2,2,1,1,1,1,1,2,2,1,2,2,2,2,2,2,1,2,2
"13737",1,1,1,1,1,1,1,1,2,1,2,1,2,2,1,2,2,2,2,2,2,2
"13740",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"13742",1,1,1,1,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2
"13746",1,1,1,2,2,2,2,2,2,1,2,2,2,2,1,2,2,2,2,2,2,2
"13771",1,1,2,2,2,1,2,1,1,1,2,2,1,1,2,2,2,2,2,2,2,2
"13779",2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"13780",1,1,2,2,1,1,2,1,2,1,1,1,2,2,2,2,2,2,2,2,2,2
"13786",2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"13789",1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"13790",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,2,2
"13794",1,1,1,1,2,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2
"13795",2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2
"13801",1,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2
"13805",1,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"13816",2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2
"13829",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"13838",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"13858",1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2
"13870",1,1,2,2,2,1,1,1,1,1,2,2,2,2,1,2,2,2,2,2,2,2
"13877",2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"13879",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"13881",1,1,1,1,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2
"13882",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"13887",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"13888",2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"13893",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"13909",1,1,2,2,2,2,1,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2
"13913",1,1,1,2,2,2,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2
"13916",2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,1,2,2
"13917",1,1,1,1,1,2,1,1,1,2,1,1,1,1,2,2,1,1,2,2,2,2
"13922",2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2
"13933",1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"13934",1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2
"13935",1,2,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,2,2,2,2
"13939",1,1,1,2,2,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2
"13949",1,2,1,1,2,1,1,1,1,1,2,1,2,1,2,2,2,2,2,2,2,2
"13954",1,2,1,1,1,2,1,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2
"13958",2,2,2,2,2,2,2,1,1,1,1,1,2,1,2,2,2,2,2,1,2,2
"13962",2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2
"13969",2,1,1,2,2,2,1,1,1,2,2,1,1,1,1,2,2,1,2,2,2,2
"13972",2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"13975",2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"13979",1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2
"13989",1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2
"13992",2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"13994",1,1,2,1,1,1,1,1,2,1,2,1,2,2,2,2,2,2,2,2,2,2
"13997",1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"13999",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"14000",1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"14003",1,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2
"14015",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"14019",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"14020",2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"14026",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"14036",1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2
"14038",1,1,2,2,2,2,1,1,1,1,1,2,2,2,2,2,2,2,2,1,2,2
"14067",2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"14081",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"14093",2,1,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2
"14097",2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2
"14102",1,1,1,1,2,2,2,1,2,1,2,1,2,2,2,2,2,2,2,2,2,2
"14108",2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"14125",2,1,2,2,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2
"14131",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"14134",2,1,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2
"14138",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"14150",2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"14156",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"14172",1,1,1,1,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"14179",1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,2,2,2,2,2,2,2
"14190",1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,2,2,2,2,1,2,2
"14208",1,1,1,2,2,1,1,1,2,2,2,2,2,1,1,2,2,2,2,2,2,1
"14212",2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"14221",1,1,1,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"14228",2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"14238",1,1,1,1,1,1,2,1,1,2,2,1,1,1,1,2,2,1,2,1,2,2
"14254",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"14255",1,1,1,1,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"14259",1,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2
"14262",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"14273",2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2
"14279",2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2
"14280",1,1,1,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"14320",1,1,1,1,1,1,1,1,1,2,1,1,2,2,2,2,2,2,2,2,2,2
"14330",1,1,2,1,1,1,1,1,1,2,2,2,1,2,2,2,2,2,2,2,2,2
"14339",1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"14340",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"14341",1,1,1,1,1,2,1,1,1,2,2,1,2,2,2,2,2,2,2,2,2,2
"14345",2,2,2,2,2,1,2,2,2,2,2,2,1,1,2,2,2,1,2,2,2,2
"14347",2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2
"14348",1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,2,2,2,1,2,2
"14349",2,1,2,2,2,1,2,1,2,1,2,2,2,1,2,2,2,1,2,2,2,2
"14360",1,1,2,2,2,2,1,2,2,2,1,1,2,2,2,2,2,2,2,1,2,2
"14362",2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2
"14377",1,1,1,1,1,2,1,1,1,2,2,2,1,2,2,2,2,2,2,2,2,2
"14382",2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"14397",2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,2,2,2,2,1,2
"14399",2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2
"14408",1,1,1,1,2,1,1,1,2,1,2,1,1,1,1,2,2,1,1,2,2,2
"14409",1,1,2,1,1,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"14410",2,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2
"14414",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"14440",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"14443",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"14447",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"14448",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"14449",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"14450",1,1,2,2,2,1,2,1,2,2,2,1,1,2,2,2,2,1,2,2,2,2
"14452",2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"14453",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"14454",1,1,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2
"14455",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"14457",2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2
"14458",2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"14459",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"14464",1,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"14475",2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"14485",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"14487",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"14490",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"14491",1,1,1,1,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"14492",1,1,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2
"14493",1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"14495",1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,2,2,2
"14526",1,1,1,1,1,1,1,1,1,2,2,2,1,2,2,2,2,2,2,2,2,2
"14529",1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,2,1,2,2,2,2
"14532",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2
"14538",1,1,1,1,2,1,1,1,1,2,2,2,2,1,2,2,2,2,2,2,2,2
"14546",1,1,1,2,2,1,2,1,2,2,2,1,1,2,1,2,2,2,2,2,2,2
"14550",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,2,2,2
"14563",2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2
"14569",2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"14585",1,2,1,1,2,1,2,1,2,1,2,1,2,1,1,2,2,2,2,2,2,2
"14586",2,2,2,2,2,1,2,2,2,1,2,2,1,1,2,2,2,2,2,2,2,2
"14588",1,1,2,2,2,2,2,1,2,1,1,1,2,1,2,2,2,2,2,2,2,2
"14597",2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2
"14635",1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"14636",1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,2,2,2,2,2,2
"14638",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"14640",1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2
"14641",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"14648",2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2
"14688",1,1,1,2,2,1,1,1,1,1,1,1,1,2,1,2,2,2,2,2,2,2
"14699",2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2
"14707",1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"14712",1,2,2,2,2,1,1,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2
"14717",1,2,1,1,2,1,1,1,1,1,2,1,1,1,2,2,2,2,2,2,2,2
"14718",1,2,1,2,2,1,2,1,2,1,2,2,1,1,2,2,1,1,2,2,2,2
"14734",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"14735",2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2
"14746",2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"14750",1,2,1,1,2,2,2,1,2,1,2,2,2,1,2,2,2,2,2,2,2,2
"14754",1,2,2,1,2,1,2,1,2,1,2,2,1,1,2,1,2,2,2,2,2,2
"14760",1,1,2,1,2,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2
"14764",2,1,2,2,2,1,2,1,2,1,2,1,1,2,1,2,2,2,2,2,2,2
"14766",1,1,2,2,1,1,2,1,1,2,2,2,2,2,1,2,2,2,2,1,2,2
"14773",1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,2,2,2,2,2,1
"14780",1,1,2,2,2,1,2,1,1,1,2,2,1,1,2,2,1,2,2,2,2,2
"14781",2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"14782",2,1,2,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2
"14785",2,2,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2
"14790",1,1,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2
"14791",2,1,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,1,2,2,2,2
"14797",2,1,2,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"14808",2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"14809",2,1,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2
"14811",1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2
"14812",1,1,1,2,2,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2
"14818",2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2
"14819",2,1,2,2,2,2,2,1,2,2,2,1,2,1,2,2,2,2,2,2,2,2
"14821",1,1,2,2,2,2,1,1,1,1,1,1,2,1,2,2,2,2,2,2,2,2
"14824",2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"14830",1,1,2,2,2,1,2,1,2,1,2,2,1,1,2,2,1,1,2,1,2,2
"14835",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"14836",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"14867",1,1,1,1,2,1,1,1,1,1,2,2,1,1,1,2,1,2,2,1,2,2
"14870",1,1,2,2,2,1,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2
"14872",1,1,2,1,1,1,1,1,1,2,2,2,1,1,2,2,2,2,2,2,2,2
"14875",1,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"14881",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,2,2,2
"14883",1,1,1,1,2,1,1,1,1,1,2,1,2,2,2,2,2,2,2,2,2,2
"14884",1,1,1,2,2,1,1,1,2,2,2,2,1,1,1,2,2,2,2,2,2,2
"14890",1,1,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"14892",2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"14895",1,1,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"14907",1,1,1,1,1,1,1,1,2,2,2,1,2,1,2,2,2,2,2,2,2,2
"14908",1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,2,2,2,2,2,2,2
"14910",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"14913",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"14915",1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,2,2,2,2,1,2,2
"14918",2,1,2,2,2,1,2,1,2,1,2,2,1,1,1,2,2,1,2,2,2,2
"14923",1,1,1,1,2,1,1,1,2,1,2,2,2,2,2,2,2,2,2,2,2,1
"14926",1,2,1,1,1,1,1,1,2,2,2,1,2,2,1,2,2,2,2,2,2,2
"14927",1,1,1,2,2,1,1,1,1,1,1,1,2,1,2,2,1,1,2,2,2,2
"14929",1,1,1,2,2,1,1,1,1,2,2,2,1,1,1,1,2,1,2,2,2,2
"14931",2,2,2,2,2,1,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2
"14932",2,1,1,1,1,1,1,1,2,1,1,2,1,1,1,2,2,1,2,2,2,2
"14935",2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"14938",1,1,2,2,2,1,1,1,2,2,2,2,1,1,2,2,2,2,2,2,2,2
"14943",2,1,2,2,2,1,1,1,2,1,2,2,1,1,1,1,2,2,2,2,2,2
"14944",1,1,2,2,2,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2
"14946",1,1,1,1,1,1,1,1,1,2,1,1,2,2,2,2,2,2,2,2,2,2
"14951",2,2,1,2,1,1,1,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2
"14963",2,1,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2
"14970",1,1,1,2,2,2,2,1,2,2,2,2,1,1,2,2,2,2,2,2,2,2
"14973",1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2
"14976",1,1,1,1,1,1,1,1,2,1,1,2,2,2,2,2,2,2,2,2,2,2
"14977",1,1,1,1,2,1,1,1,1,1,2,2,1,1,1,2,1,2,2,2,2,2
"14978",1,1,2,2,2,1,2,1,2,1,2,2,2,2,2,2,1,2,2,2,2,2
"14983",2,1,1,2,2,1,2,1,1,1,1,1,2,2,2,2,1,1,2,2,2,2
"14984",1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,2,1,2,2
"14986",1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,2,2,1,2,1,2,2
"14990",1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2
"14991",1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2
"14994",1,1,1,1,2,1,1,1,1,1,1,1,2,2,1,2,2,1,2,2,2,2
"14995",1,1,1,2,2,1,2,1,2,1,2,2,1,1,2,2,2,2,2,1,2,2
"15004",2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2
"15005",1,1,1,1,2,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2
"15008",2,1,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,1,2,2,2,2
"15009",2,1,2,2,2,1,1,1,2,1,2,1,1,1,1,1,2,1,2,1,2,2
"15013",2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2
"15014",2,1,2,2,2,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2
"15017",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2
"15019",1,1,2,1,2,1,2,1,1,1,2,2,1,1,2,2,2,1,1,1,2,2
"15022",2,1,1,2,2,1,1,1,2,1,2,2,1,1,1,2,1,1,2,2,2,2
"15023",2,2,2,2,1,1,2,2,2,2,2,2,2,1,1,2,1,1,2,2,2,2
"15024",1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,2,1,1,2,2,2,2
"15030",1,1,1,1,2,1,1,2,1,1,2,2,1,1,1,2,2,2,2,2,2,2
"15038",2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"15048",1,1,1,2,2,1,1,1,1,1,1,2,1,1,1,2,1,1,2,2,2,2
"15051",1,1,1,2,2,1,1,1,1,1,2,1,1,1,2,2,2,2,2,2,2,2
"15053",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2
"15055",2,1,2,2,2,1,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2
"15063",1,1,2,1,2,1,1,1,1,2,2,2,1,1,1,2,1,1,2,2,2,2
"15064",2,2,2,1,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"15065",1,1,2,2,2,1,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2
"15071",1,1,1,1,1,1,2,1,2,1,2,1,1,1,1,1,1,1,2,2,2,2
"15076",1,1,2,1,1,1,1,1,1,2,2,2,1,1,1,2,2,2,2,1,2,2
"15078",2,1,2,2,1,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2
"15079",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"15080",1,2,1,1,1,1,1,1,2,1,2,2,1,1,2,2,1,2,2,2,2,2
"15082",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"15086",2,2,2,2,2,1,1,1,1,2,2,2,2,1,2,2,2,2,2,2,2,2
"15088",1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"15089",1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,2,2,2,2,1,2,2
"15091",2,1,2,2,2,2,2,2,2,2,2,2,1,1,1,1,2,1,2,2,2,2
"15093",1,1,2,1,1,1,2,1,2,2,2,2,2,1,2,2,1,2,2,2,2,2
"15094",1,1,2,1,2,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2
"15096",1,1,1,2,2,1,2,1,1,2,2,2,2,1,2,2,2,2,2,2,2,2
"15099",1,1,2,2,1,1,1,1,1,1,2,2,1,1,1,2,2,2,1,2,2,1
"15101",2,1,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2
"15109",2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"15115",1,2,1,2,1,1,1,1,2,2,2,2,1,1,1,2,2,1,2,1,2,2
"15117",2,1,2,1,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2
"15126",2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"15132",1,1,2,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"15140",1,1,1,1,2,1,2,1,2,1,2,1,2,2,2,2,1,2,2,2,2,2
"15143",1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,1,2,2
"15144",1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,2,1,1,1,2,2,2
"15147",1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2
