"","AP4_10_01","AP4_10_02","AP4_10_03","AP4_10_04","AP4_10_05","AP4_10_06","AP4_10_09","AP4_10_10","AP4_10_11","AP4_10_12","AP4_10_14","AP4_10_15","AP4_11_01","AP4_11_02","AP4_11_03","AP4_11_04","AP4_11_05","AP4_11_06","AP4_11_07","AP4_11_08","AP4_11_09","AP4_11_10"
"342",2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"343",1,1,2,2,2,1,2,1,2,1,2,1,1,1,2,1,2,1,2,2,2,2
"347",2,1,2,2,2,2,2,1,2,2,2,1,1,1,1,2,2,1,2,2,2,2
"351",2,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2
"352",1,1,1,1,2,2,1,1,2,2,2,2,1,1,2,2,2,2,2,2,2,2
"353",1,1,1,1,2,2,1,1,2,1,1,2,1,2,1,2,2,2,2,2,2,2
"354",2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2
"366",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2
"367",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"371",1,1,1,2,2,1,1,1,1,2,2,1,1,1,1,2,2,2,2,1,2,2
"381",1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"382",2,2,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2
"390",1,1,1,1,2,1,1,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2
"392",2,1,2,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"407",1,1,1,2,2,2,2,1,2,2,1,2,1,1,1,2,2,2,2,1,2,2
"411",2,1,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2
"412",1,1,2,2,2,1,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2
"416",1,1,1,2,1,1,1,1,2,2,2,2,2,1,1,1,2,2,2,2,2,2
"418",1,1,1,2,2,1,2,1,1,2,1,2,2,2,2,2,2,2,2,2,2,2
"424",1,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2
"436",2,1,2,2,2,2,2,2,2,2,2,1,1,1,1,2,2,2,2,2,2,2
"439",2,1,2,2,2,1,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2
"440",1,2,2,2,1,2,1,1,2,2,2,1,1,1,1,2,2,2,2,2,2,2
"441",2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"448",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,1
"455",1,1,2,1,2,2,1,1,2,1,2,1,1,1,2,1,2,1,2,1,2,2
"466",2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"467",2,1,2,2,2,2,2,1,2,2,2,1,2,1,1,2,2,2,2,1,2,2
"482",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
